,Year_sold,PARCEL,SequenceNum,SaleDate,SalePrice,PrPerSqFt,p_Cat,SQFT,YEAR,GARAGE,GARAGECAPA,POOLAREA,MAIN,CONTROL,ACTUAL,LASTACTION,Map,GISACRES,LON,LAT,URL,URL2,ZIP
9775,2019,114212140,20191570686,201904,267500,94.62327556,9,2827,1985,1,4,0,314909,314909,340102,20070928,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034.PDF,0.54734802,-110.7744813,32.28727923,www.tucsonaz.gov/pro/pdsd/parcel_search/114212140,http://gis.pima.gov/maps/detail.cfm?p=114212140,85716
9776,2019,114212140,20191570686,201904,267500,94.62327556,9,2827,1985,1,4,0,314909,314909,340102,20070928,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034.PDF,0.54734802,-110.7744813,32.28727923,www.tucsonaz.gov/pro/pdsd/parcel_search/114212140,http://gis.pima.gov/maps/detail.cfm?p=114212140,85716
9777,2019,114212140,20191570686,201904,267500,94.62327556,9,2827,1985,1,4,0,314909,314909,340102,20070928,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034.PDF,0.54734802,-110.7744813,32.28727923,www.tucsonaz.gov/pro/pdsd/parcel_search/114212140,http://gis.pima.gov/maps/detail.cfm?p=114212140,85716
9778,2019,114212140,20191570686,201904,267500,94.62327556,9,2827,1985,1,4,0,314909,314909,340102,20070928,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034.PDF,0.54734802,-110.7744813,32.28727923,www.tucsonaz.gov/pro/pdsd/parcel_search/114212140,http://gis.pima.gov/maps/detail.cfm?p=114212140,85716
9779,2019,114211730,20191330715,201903,335000,196.1358314,20,1708,1983,3,3,0,214684,214684,231859,20071019,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034_01.PDF,0.53919601,-110.7784528,32.28649637,www.tucsonaz.gov/pro/pdsd/parcel_search/114211730,http://gis.pima.gov/maps/detail.cfm?p=114211730,85749
9780,2019,114211730,20191330715,201903,335000,196.1358314,20,1708,1983,3,3,0,214684,214684,231859,20071019,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034_01.PDF,0.53919601,-110.7784528,32.28649637,www.tucsonaz.gov/pro/pdsd/parcel_search/114211730,http://gis.pima.gov/maps/detail.cfm?p=114211730,85749
9781,2019,114211730,20191330715,201903,335000,196.1358314,20,1708,1983,3,3,0,214684,214684,231859,20071019,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034_01.PDF,0.53919601,-110.7784528,32.28649637,www.tucsonaz.gov/pro/pdsd/parcel_search/114211730,http://gis.pima.gov/maps/detail.cfm?p=114211730,85749
9782,2019,114211730,20191330715,201903,335000,196.1358314,20,1708,1983,3,3,0,214684,214684,231859,20071019,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034_01.PDF,0.53919601,-110.7784528,32.28649637,www.tucsonaz.gov/pro/pdsd/parcel_search/114211730,http://gis.pima.gov/maps/detail.cfm?p=114211730,85749
9783,2019,114211730,20191330715,201903,335000,196.1358314,20,1708,1983,3,3,0,214684,214684,231859,20071019,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034_01.PDF,0.53919601,-110.7784528,32.28649637,www.tucsonaz.gov/pro/pdsd/parcel_search/114211730,http://gis.pima.gov/maps/detail.cfm?p=114211730,85749
9784,2019,114211730,20190170074,201901,245000,143.442623,14,1708,1983,3,3,0,214684,214684,231859,20071019,http://www.asr.pima.gov/ParcelData/Map/Arm/MP30/M30034_01.PDF,0.53919601,-110.7784528,32.28649637,www.tucsonaz.gov/pro/pdsd/parcel_search/114211730,http://gis.pima.gov/maps/detail.cfm?p=114211730,85749
